run,step,layer,t,dim,p_at_L_5_linear,p_at_L_5_mlp,p_at_L,p_at_L_2,p_at_L_5,contact_n_test,cath_level,cath_acc,cath_f1,cath_classes,manifest,ckpt_path,error
repa_l0_256,400000,2,0.50,512,0.2254,0.2254,0.1841,0.1985,0.2254,39,T,0.7000,0.7111,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,3,0.50,512,0.2534,0.2559,0.1940,0.2266,0.2559,39,T,0.8000,0.8333,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,4,0.50,512,0.2363,0.2361,0.1881,0.2039,0.2361,39,T,0.7000,0.6852,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,5,0.50,512,0.2293,0.2428,0.1833,0.2032,0.2428,39,T,0.7000,0.6852,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,6,0.50,512,0.2237,0.2452,0.1849,0.2079,0.2452,39,T,0.7000,0.6852,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,7,0.50,512,0.2260,0.2512,0.1848,0.2080,0.2512,39,T,0.7000,0.6852,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,8,0.50,512,0.2244,0.2500,0.1901,0.2109,0.2500,39,T,0.7000,0.6852,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,9,0.50,512,0.2197,0.2667,0.1929,0.2186,0.2667,39,T,0.7000,0.6852,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l4_256,400000,0,1.00,512,0.8899,0.9036,0.6472,0.8051,0.9036,39,T,0.5000,0.4815,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,1,1.00,512,0.8435,0.8661,0.6009,0.7577,0.8661,39,T,0.5000,0.4815,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,2,1.00,512,0.8143,0.8410,0.5648,0.7236,0.8410,39,T,0.6000,0.5926,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,3,1.00,512,0.8093,0.8258,0.5555,0.7146,0.8258,39,T,0.8000,0.7778,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,4,1.00,512,0.7860,0.8229,0.5467,0.6927,0.8229,39,T,0.8000,0.7778,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,5,1.00,512,0.8007,0.8217,0.5248,0.6793,0.8217,39,T,0.8000,0.7778,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,6,1.00,512,0.7650,0.8024,0.5073,0.6660,0.8024,39,T,0.8000,0.7778,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,7,1.00,512,0.7626,0.7699,0.4874,0.6300,0.7699,39,T,0.8000,0.7778,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,8,1.00,512,0.7724,0.7765,0.4928,0.6430,0.7765,39,T,0.8000,0.7778,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,9,1.00,512,0.7757,0.7998,0.5045,0.6554,0.7998,39,T,0.7000,0.6852,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
