run,step,layer,t,dim,p_at_L_5_linear,p_at_L_5_mlp,p_at_L,p_at_L_2,p_at_L_5,contact_n_test,cath_level,cath_acc,cath_f1,cath_classes,manifest,ckpt_path,error
esm_repa_l9_128,266000,6,1.00,512,0.6708,0.7014,0.4550,0.5763,0.7014,39,T,0.9000,0.8519,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,7,1.00,512,0.6541,0.7064,0.4599,0.5829,0.7064,39,T,0.9000,0.8519,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,8,1.00,512,0.6523,0.6805,0.4298,0.5407,0.6805,39,T,0.9000,0.8519,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,9,1.00,512,0.6388,0.6986,0.4442,0.5669,0.6986,39,T,0.9000,0.8519,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,0,0.75,512,0.3371,0.4053,0.3042,0.3571,0.4053,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,1,0.75,512,0.4301,0.5590,0.3702,0.4677,0.5590,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,2,0.75,512,0.4493,0.6186,0.4014,0.4959,0.6186,39,T,1.0000,1.0000,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,3,0.75,512,0.5535,0.6442,0.4333,0.5453,0.6442,39,T,1.0000,1.0000,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,4,0.75,512,0.4833,0.5347,0.3751,0.4545,0.5347,39,T,1.0000,1.0000,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,5,0.75,512,0.4933,0.5076,0.3547,0.4305,0.5076,39,T,1.0000,1.0000,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,6,0.75,512,0.4949,0.5062,0.3622,0.4346,0.5062,39,T,1.0000,1.0000,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,7,0.75,512,0.4898,0.5052,0.3613,0.4291,0.5052,39,T,1.0000,1.0000,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,8,0.75,512,0.4839,0.5011,0.3632,0.4310,0.5011,39,T,1.0000,1.0000,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,9,0.75,512,0.5063,0.5150,0.3698,0.4396,0.5150,39,T,1.0000,1.0000,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,0,0.50,512,0.0912,0.0979,0.0937,0.0965,0.0979,39,T,0.7000,0.6852,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,1,0.50,512,0.1325,0.1536,0.1396,0.1498,0.1536,39,T,0.7000,0.7222,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,2,0.50,512,0.1704,0.2212,0.1662,0.1885,0.2212,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,3,0.50,512,0.2052,0.2294,0.1833,0.2004,0.2294,39,T,0.7000,0.6852,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,4,0.50,512,0.2019,0.2253,0.1700,0.2043,0.2253,39,T,0.7000,0.7111,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,5,0.50,512,0.1920,0.2164,0.1644,0.1956,0.2164,39,T,0.7000,0.7111,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,6,0.50,512,0.2033,0.2187,0.1659,0.1903,0.2187,39,T,0.7000,0.7111,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,7,0.50,512,0.2018,0.2113,0.1660,0.1884,0.2113,39,T,0.8000,0.7963,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,8,0.50,512,0.1993,0.2191,0.1679,0.1827,0.2191,39,T,0.8000,0.7963,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,9,0.50,512,0.2103,0.2259,0.1698,0.1930,0.2259,39,T,0.7000,0.7111,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
random_rank,0,-100,1.00,0,nan,0.0185,0.0184,0.0186,0.0185,39,none,nan,nan,0,v1,,
distance_only,0,-101,1.00,0,nan,0.0242,0.0225,0.0288,0.0242,39,none,nan,nan,0,v1,,
seq_onehot,0,-3,1.00,20,0.0376,0.0469,0.0403,0.0446,0.0469,39,T,0.2000,0.0370,9,v1,,
random_gauss,0,-2,1.00,512,0.0221,0.0174,0.0165,0.0157,0.0174,39,T,0.3000,0.1185,9,v1,,
untrained_proteina,0,-999,1.00,,,,,,,,,,,,v1,,"MissingConfigException: Primary config directory not found.
Check that the config directory '/home/sr2173/git/molecular-repa/evaluation/src/proteina/configs/experiment_config' exists and readable"
untrained_proteina,0,-999,1.00,,,,,,,,,,,,v1,,"MissingConfigException: Primary config directory not found.
Check that the config directory '/home/sr2173/git/molecular-repa/evaluation/src/proteina/configs/experiment_config' exists and readable"
untrained_proteina,0,-999,1.00,,,,,,,,,,,,v1,,"MissingConfigException: Primary config directory not found.
Check that the config directory '/home/sr2173/git/molecular-repa/evaluation/src/proteina/configs/experiment_config' exists and readable"
untrained_proteina,0,-999,1.00,,,,,,,,,,,,v1,,"MissingConfigException: Primary config directory not found.
Check that the config directory '/home/sr2173/git/molecular-repa/evaluation/src/proteina/configs/experiment_config' exists and readable"
