variant,dataset,step_filter,rep_metric,gen_metric,n,pearson_r,pearson_p,spearman_r,spearman_p,partial_spearman_r_ctrl_step,partial_spearman_p_ctrl_step
cath_if_dih,AFDB,0,cath_T_top1,_res_designability_rate,86,0.6224297054546452,1.576296597634856e-10,0.37103850350334533,0.0004365483681546469,0.31542429366032937,0.0030940779847217145
cath_if_dih,AFDB,0,if_top1_acc,_res_PDB_FID,86,0.29998211378922396,0.005013760156138975,0.433215395831087,3.095852605650205e-05,0.5198225556707521,2.911406272525393e-07
cath_if_dih,AFDB,0,if_top1_acc,_res_AFDB_FID,86,0.27678475305239986,0.00988437780332127,0.4609656466915657,7.953237150080454e-06,0.5486240830977848,4.534575141868643e-08
cath_if_dih,AFDB,0,if_top1_acc,_res_designability_rate,86,0.3750744811786533,0.00037335662035606565,0.14464737663040597,0.1839219480703366,0.06346465139646186,0.5615637112173506
cath_if_dih,AFDB,0,dih_mae_total_deg,_res_PDB_FID,86,-0.4713484439206408,4.635985427166959e-06,-0.4364812416806535,2.654344114077457e-05,-0.49955970013176965,9.75273626424159e-07
cath_if_dih,AFDB,0,dih_mae_total_deg,_res_AFDB_FID,86,-0.4871732671713026,1.9670525595945635e-06,-0.4639672044376991,6.816556578088036e-06,-0.5274182470368435,1.8128536547500538e-07
cath_if_dih,AFDB,0,dih_mae_total_deg,_res_designability_rate,86,-0.41355267492580594,7.566932830798724e-05,-0.07842896539240855,0.4728904016578658,-0.00538081657598334,0.9607839761561024
cath_if_dih,AFDB,200000,cath_C_top1,_res_PDB_FID,75,-0.5705323625305391,9.097035815786286e-08,-0.6436442044145742,4.710292653393382e-10,-0.7163466067398152,4.990881861816547e-13
cath_if_dih,AFDB,200000,cath_C_top1,_res_AFDB_FID,75,-0.5638111955044278,1.386256061149007e-07,-0.6529313007316189,2.17725429480299e-10,-0.7091041975267411,1.0839198662075786e-12
cath_if_dih,AFDB,200000,cath_C_top1,_res_designability_rate,75,0.2103744587594423,0.07004367724674478,0.23716231100198568,0.040489765355155444,0.258427332282228,0.025179924238902106
cath_if_dih,AFDB,200000,cath_A_top1,_res_PDB_FID,75,-0.4728946051850846,1.8336809254398426e-05,-0.6359302805280497,8.767538552652191e-10,-0.7314429921375888,9.150468763970514e-14
cath_if_dih,AFDB,200000,cath_A_top1,_res_AFDB_FID,75,-0.48038025462228756,1.2906121537582734e-05,-0.6455526475626311,4.028204873659807e-10,-0.7216096076466446,2.797724486895168e-13
cath_if_dih,AFDB,200000,cath_A_top1,_res_designability_rate,75,0.2363242975618718,0.04122444826920158,0.22577543562833755,0.05145565542102184,0.253841237230245,0.027982163202213826
cath_if_dih,AFDB,200000,cath_T_top1,_res_PDB_FID,75,-0.4515342618614589,4.7804741454186756e-05,-0.6545612044673825,1.8962413948587664e-10,-0.7550087219929208,5.090552090788062e-15
cath_if_dih,AFDB,200000,cath_T_top1,_res_AFDB_FID,75,-0.45229249815613665,4.6256010334206234e-05,-0.6626332433323399,9.445139704940363e-11,-0.743028470566232,2.2994380901816152e-14
cath_if_dih,AFDB,200000,cath_T_top1,_res_designability_rate,75,0.2618680356004431,0.02323708439588961,0.26987406106390405,0.0192038630276149,0.3026217915831423,0.008316317703462264
cath_if_dih,AFDB,200000,if_top1_acc,_res_PDB_FID,75,0.39117300732617916,0.000520210086332572,0.5528923880928753,2.694940340140126e-07,0.5589255107321957,1.8719971323953306e-07
cath_if_dih,AFDB,200000,if_top1_acc,_res_AFDB_FID,75,0.308962615294529,0.006994977311142883,0.535441917806554,7.432950992282609e-07,0.556230927923149,2.204794194044975e-07
cath_if_dih,AFDB,200000,if_top1_acc,_res_designability_rate,75,0.0036074100179196568,0.9754956683815414,-0.098866898316361,0.3987242744652788,-0.0964835003900502,0.4102458747403259
cath_if_dih,AFDB,200000,dih_mae_total_deg,_res_PDB_FID,75,-0.669339772590494,5.207138811273999e-11,-0.5609771084212851,1.6511128365343533e-07,-0.5551744587483748,2.3499528785170013e-07
cath_if_dih,AFDB,200000,dih_mae_total_deg,_res_AFDB_FID,75,-0.6147610959077529,4.427078040674149e-09,-0.5448930697397656,4.321367229330116e-07,-0.5473323788235539,3.746715370845756e-07
cath_if_dih,AFDB,200000,dih_mae_total_deg,_res_designability_rate,75,0.15337748939217996,0.1889246618494514,0.1978904795143644,0.08877934789310117,0.19755614036506236,0.08933074657762037
cleantrain,PDB,0,cath_C_top1,_res_PDB_FID,129,-0.4123787666166655,1.19770753563778e-06,-0.3888268494325664,5.269902074690398e-06,-0.26425069249769634,0.002477484987000076
cleantrain,PDB,0,cath_C_top1,_res_AFDB_FID,129,-0.35009688334808226,4.759867333523099e-05,-0.3417039475404239,7.394924286968765e-05,-0.20072214025479396,0.022557922040271995
cleantrain,PDB,0,cath_C_top1,_res_designability_rate,129,0.4812975952100292,7.750510742444592e-09,0.373631863519571,1.2925551634198363e-05,0.24160638616341026,0.0058085024456126675
cleantrain,PDB,0,cath_A_top1,_res_PDB_FID,129,-0.44527628996507357,1.240539790457313e-07,-0.39213363021712233,4.3092923295297175e-06,-0.23493671248531767,0.007361886114486208
cleantrain,PDB,0,cath_A_top1,_res_AFDB_FID,129,-0.38633080174207424,6.125609272215238e-06,-0.3428653006505717,6.962741573680164e-05,-0.17296642369518786,0.04997240558742139
cleantrain,PDB,0,cath_A_top1,_res_designability_rate,129,0.4752446249734689,1.2633609859814428e-08,0.40926015384429143,1.466905909505868e-06,0.2629436473348919,0.002607671933752664
cleantrain,PDB,0,cath_T_top1,_res_PDB_FID,129,-0.4129415666941349,1.1544253391226637e-06,-0.3924188061117874,4.234719302673451e-06,-0.23903560305690633,0.006368801513566185
