run,step,layer,t,head_type,n_train,n_eval,n_proteins_test,p_at_L_5,p_at_L_2,p_at_L,dim,ckpt_path,train_manifest,eval_manifest
esm_repa_l4_128,248500,8,1.0,mlp,5000,500,490,0.8812410249187594,0.7889635631118785,0.6466181382506966,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l4_128,248500,9,1.0,mlp,5000,500,490,0.8758199454809943,0.7789117310764433,0.6356664354343398,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l9_128,266000,0,1.0,mlp,5000,500,490,0.9161633045910397,0.8314250631592168,0.6835362832808523,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l9_128,266000,1,1.0,mlp,5000,500,490,0.8493398524077292,0.7411865224313866,0.5977371101859923,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l9_128,266000,2,1.0,mlp,5000,500,490,0.8478602483659772,0.7344489058604572,0.5904828496444231,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l9_128,266000,3,1.0,mlp,5000,500,490,0.8506444921682205,0.7504541940395232,0.6105399746655529,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l9_128,266000,4,1.0,mlp,5000,500,490,0.84157765188217,0.7328407758159863,0.594247117410681,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l9_128,266000,5,1.0,mlp,5000,500,490,0.8523802851735625,0.7389964373555639,0.5937650534775253,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l9_128,266000,6,1.0,mlp,5000,500,490,0.8446317184165528,0.7321990723735518,0.588995947499427,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l9_128,266000,7,1.0,mlp,5000,500,490,0.829174503140224,0.7196564538947238,0.5818706305481275,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l9_128,266000,8,1.0,mlp,5000,500,490,0.8287539957781835,0.7151932579272868,0.5751203768006966,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l9_128,266000,9,1.0,mlp,5000,500,490,0.839719225940448,0.7296562157112354,0.5890761411502834,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
baseline_256,400000,0,1.0,mlp,5000,500,490,0.940331249095606,0.8873804104444409,0.7531832846104373,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256,400000,1,1.0,mlp,5000,500,490,0.9386489746055365,0.8806106266054877,0.7442347504936581,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256,400000,2,1.0,mlp,5000,500,490,0.9408121654012234,0.8859195669146407,0.7499371164266379,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256,400000,3,1.0,mlp,5000,500,490,0.9401108984944281,0.8822952858699654,0.7453903189532246,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256,400000,4,1.0,mlp,5000,500,490,0.9378935027543444,0.8782819878114786,0.7396330389552492,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256,400000,5,1.0,mlp,5000,500,490,0.9373522482590978,0.8792349956206833,0.7416352056862425,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256,400000,6,1.0,mlp,5000,500,490,0.9341784482471668,0.8754347435887702,0.7372621447043004,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256,400000,7,1.0,mlp,5000,500,490,0.9339099346669496,0.8733966900087369,0.7343989708497632,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256,400000,8,1.0,mlp,5000,500,490,0.9351489984407672,0.8748102720124327,0.7366582149057548,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256,400000,9,1.0,mlp,5000,500,490,0.9355155968847684,0.8755289240011297,0.7378507342013384,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l0_256,400000,0,1.0,mlp,5000,500,490,0.9390591185229387,0.8775815131213986,0.7374647521513594,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l0_256,400000,1,1.0,mlp,5000,500,490,0.9363559785538571,0.8711151416285379,0.7275626191628991,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l0_256,400000,2,1.0,mlp,5000,500,490,0.9364252653407459,0.8742512866127603,0.733583178882867,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l0_256,400000,3,1.0,mlp,5000,500,490,0.9318291847706097,0.8670251280942877,0.7244480917066279,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l0_256,400000,4,1.0,mlp,5000,500,490,0.9350166216691206,0.867859691367963,0.725276671067613,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l0_256,400000,5,1.0,mlp,5000,500,490,0.9336835204413446,0.8683908815446832,0.726384227603045,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l0_256,400000,6,1.0,mlp,5000,500,490,0.9327080839343057,0.8653795268032264,0.7228264431853171,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l0_256,400000,7,1.0,mlp,5000,500,490,0.9320728402243939,0.8647522387779197,0.7216040681765021,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,train_v1,eval_v1
